Contas a Pagar;;;;;;;;;
Catagoria;Descrição;Vencimento;Pagamento;Valor;Valor Pago;Status;Parcela;Fornecedor;Unidade
01.19-Laticínios;PMG;31/05/2022;31/05/2022;R$ 1.917,53;R$ 1.917,53;Pago;1/1;01.15.19 - PMG- Pama comercio de alimentos;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;31/05/2022;31/05/2022;R$ 66,00;R$ 66,00;Pago;1/1;01.16.06-Bolo de Pote;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;31/05/2022;31/05/2022;R$ 82,90;R$ 82,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.21-FRANQUIA-Pedido semanal;FRANQUIA;31/05/2022;31/05/2022;R$ 1.128,30;R$ 1.128,30;Pago;1/1;01.21.01 -Franquia Inverno Ditalia;Inverno D´Italia Bragança Paulista
02.10-Vale Refeição;RESTAURANTE CASARAO;31/05/2022;31/05/2022;R$ 1.194,54;R$ 1.194,54;Pago;1/1;02.10.01 - Restaurante Casarão;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1815. FREE;31/05/2022;31/05/2022;R$ 192,00;R$ 192,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1815. V.T;31/05/2022;31/05/2022;R$ 50,00;R$ 50,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1815. ANTONIO;31/05/2022;31/05/2022;R$ 115,00;R$ 115,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1815. LUCAS;31/05/2022;31/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1815. PÃO;31/05/2022;31/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1815. RODRIGO;31/05/2022;31/05/2022;R$ 100,00;R$ 100,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1815. JOEL AGUA;31/05/2022;31/05/2022;R$ 12,00;R$ 12,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1815. PÃO;31/05/2022;31/05/2022;R$ 5,00;R$ 5,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1815. FREE ADRIANE 30/05;31/05/2022;31/05/2022;R$ 48,00;R$ 48,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.07-Manutenção Geral;ELETRICA CASTRO;31/05/2022;02/06/2022;R$ 90,00;R$ 90,00;Pago;1/1;01.07-01-MATERIAIS EM GERAL;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1814. FREE;30/05/2022;30/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1814. V.T;30/05/2022;30/05/2022;R$ 70,00;R$ 70,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1814. ANTONIO;30/05/2022;30/05/2022;R$ 152,00;R$ 152,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1814. LUCAS;30/05/2022;30/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1814. RODRIGO;30/05/2022;30/05/2022;R$ 92,00;R$ 92,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;30/05/2022;31/05/2022;R$ 79,80;R$ 79,80;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;30/05/2022;31/05/2022;R$ 117,90;R$ 117,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;30/05/2022;31/05/2022;R$ 145,00;R$ 145,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;VAREJAO;30/05/2022;31/05/2022;R$ 45,00;R$ 45,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;30/05/2022;31/05/2022;R$ 78,20;R$ 78,20;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;30/05/2022;31/05/2022;R$ 189,44;R$ 189,44;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANCA;30/05/2022;31/05/2022;R$ 704,05;R$ 704,05;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1813. DRII, JUH, AMANDA E FEH;29/05/2022;29/05/2022;R$ 50,00;R$ 50,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.06-Freelance-Temporario;Saída do caixa 1813. drii e juh;29/05/2022;29/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1813. juuh e drii;29/05/2022;29/05/2022;R$ 42,00;R$ 42,00;Pago;1/1;02.05.01 - Hora Extra colaboradores;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1813. EDUARDO;29/05/2022;29/05/2022;R$ 15,00;R$ 15,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;VAREJAO;29/05/2022;31/05/2022;R$ 80,00;R$ 80,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1812. MANUEL 21;28/05/2022;28/05/2022;R$ 127,00;R$ 127,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.14-Gráfica;Saída do caixa 1812. PAPELARIA;28/05/2022;28/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.14.01-GRAFICA OUTROS;Inverno D´Italia Bragança Paulista
01.06-Freelance-Temporario;Saída do caixa 1812. JUH- EMILY- DRII- AMANDA;28/05/2022;28/05/2022;R$ 216,00;R$ 216,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1812. DRII- EMILY- JULIA- FE- LE- AMANDA;28/05/2022;28/05/2022;R$ 60,00;R$ 60,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;28/05/2022;31/05/2022;R$ 165,80;R$ 165,80;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;28/05/2022;31/05/2022;R$ 232,90;R$ 232,90;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;28/05/2022;31/05/2022;R$ 44,00;R$ 44,00;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANÇA;28/05/2022;31/05/2022;R$ 337,53;R$ 337,53;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
01.13-Embalagens;MULTI CAIXAS;28/05/2022;31/05/2022;R$ 295,00;R$ 295,00;Pago;1/1;01.13.05-MULTICAIXAS ATBAIA EMBALAGENS;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1811. LUCAS;27/05/2022;27/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1811. MANOEL;27/05/2022;27/05/2022;R$ 84,00;R$ 84,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1811. COXINHA DE BRIGADEIRO;27/05/2022;27/05/2022;R$ 60,00;R$ 60,00;Pago;1/1;01.16.04-Rafineé;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1811. AGUA;27/05/2022;27/05/2022;R$ 40,00;R$ 40,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1811. RODRIGO;27/05/2022;27/05/2022;R$ 84,00;R$ 84,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1811. HEBERT;27/05/2022;27/05/2022;R$ 22,00;R$ 22,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1811. PAO;27/05/2022;27/05/2022;R$ 21,00;R$ 21,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1811. FREE;27/05/2022;27/05/2022;R$ 192,00;R$ 192,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1811. V.T;27/05/2022;27/05/2022;R$ 90,00;R$ 90,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;VAREJAO;27/05/2022;31/05/2022;R$ 45,00;R$ 45,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANCA;27/05/2022;31/05/2022;R$ 37,00;R$ 37,00;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANCA;27/05/2022;31/05/2022;R$ 449,76;R$ 449,76;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;27/05/2022;31/05/2022;R$ 114,36;R$ 114,36;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
01.11-Delivery;MOTOBOY ANTONIO;27/05/2022;31/05/2022;R$ 117,00;R$ 117,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;VAREJAO;27/05/2022;04/06/2022;R$ 48,00;R$ 48,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1810. PAULINHO;26/05/2022;26/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1810. RODRIGO;26/05/2022;26/05/2022;R$ 7,00;R$ 7,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1810. REFERENTE AO DIA 25/05;26/05/2022;26/05/2022;R$ 35,00;R$ 35,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1810. MANOEL;26/05/2022;26/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1810. MANOEL;26/05/2022;26/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1810. LUCAS;26/05/2022;26/05/2022;R$ 12,00;R$ 12,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1810. RAFINNE;26/05/2022;26/05/2022;R$ 215,00;R$ 215,00;Pago;1/1;01.16.04-Rafineé;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1810. V.T;26/05/2022;26/05/2022;R$ 60,00;R$ 60,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1810. FREE;26/05/2022;26/05/2022;R$ 240,00;R$ 240,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.16-Doces;real bolos;26/05/2022;26/05/2022;R$ 66,00;R$ 66,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;26/05/2022;26/05/2022;R$ 91,90;R$ 91,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.13-Embalagens;ponto certo;26/05/2022;26/05/2022;R$ 188,80;R$ 188,80;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.15-Mercado;vencedor;26/05/2022;26/05/2022;R$ 114,96;R$ 114,96;Pago;1/1;01.15.07-SUPERMERCADO VENCEDOR;Inverno D´Italia Bragança Paulista
03.01-Itens para Cozinha;PACK DELIVERY KIT GARFO E FACA DESCARTAVEL;25/06/2022;04/06/2022;R$ 265,00;R$ 265,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1809. LUCAS;25/05/2022;25/05/2022;R$ 63,00;R$ 63,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1809. MANOEL;25/05/2022;25/05/2022;R$ 70,00;R$ 70,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1809. AGUA;25/05/2022;25/05/2022;R$ 70,00;R$ 70,00;Pago;1/1;01.15.15-SETE AGUAS;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1809. REAL BOLOS;25/05/2022;25/05/2022;R$ 162,00;R$ 162,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1809. PÃO;25/05/2022;25/05/2022;R$ 15,50;R$ 15,50;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1809. HEBERT;25/05/2022;25/05/2022;R$ 19,00;R$ 19,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1809. FREE;25/05/2022;25/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1809. FREE;25/05/2022;25/05/2022;R$ 48,00;R$ 48,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1809. V.T;25/05/2022;25/05/2022;R$ 80,00;R$ 80,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
03.01-Itens para Cozinha;Saída do caixa 1809. ESTRELA DO LAR;25/05/2022;25/05/2022;R$ 49,26;R$ 49,26;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.12-Papelaria;Saída do caixa 1809. PAPELARIA;25/05/2022;25/05/2022;R$ 27,00;R$ 27,00;Pago;1/1;01.12.01-Papelaria São Benedito;Inverno D´Italia Bragança Paulista
01.04-Telefone Fixo/ vivo;VIVO;25/05/2022;25/05/2022;R$ 148,28;R$ 148,28;Pago;1/1;01.04.01 Vivo;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;25/05/2022;26/05/2022;R$ 82,90;R$ 82,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.13-Embalagens;ponto certo;25/05/2022;26/05/2022;R$ 88,20;R$ 88,20;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.02-Energia Elétrica;ENERGISA;25/05/2022;31/05/2022;R$ 3.399,69;R$ 3.399,69;Pago;1/1;01.02.01-ENERGISA - SERVIÇOS PUBLICOS;Inverno D´Italia Bragança Paulista
01.21-FRANQUIA-Pedido semanal;FRANQUIA;25/05/2022;31/05/2022;R$ 8.550,37;R$ 8.550,37;Pago;1/1;01.21.01 -Franquia Inverno Ditalia;Inverno D´Italia Bragança Paulista
01.20-Salgados;SERGIO PAO DE QUEIJO;25/05/2022;31/05/2022;R$ 1.705,00;R$ 1.705,00;Pago;1/1;01.20.04-SERGIO PAO DE QUEIJO;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANCA;25/05/2022;31/05/2022;R$ 696,25;R$ 696,25;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
06.09-Convenio;farmacia central;24/05/2022;24/05/2022;R$ 162,97;R$ 162,97;Pago;1/1;06.09.01-FARMACIA CENTRAL;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;POLPAS E FRUTAS;24/05/2022;24/05/2022;R$ 305,00;R$ 305,00;Pago;1/1;01.17.02- M&E POUPAS E FRUTAS CONGELADAS;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;24/05/2022;24/05/2022;R$ 82,90;R$ 82,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;24/05/2022;24/05/2022;R$ 79,33;R$ 79,33;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1808. ANTONIO;24/05/2022;24/05/2022;R$ 100,00;R$ 100,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1808. FREE;24/05/2022;24/05/2022;R$ 48,00;R$ 48,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1808. V.T;24/05/2022;24/05/2022;R$ 40,00;R$ 40,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1808. 1 RODRIGO 1 2R;24/05/2022;24/05/2022;R$ 16,00;R$ 16,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.13-Embalagens;Saída do caixa 1808. GUARDANAPO;24/05/2022;24/05/2022;R$ 132,60;R$ 132,60;Pago;1/1;01.13.03-RENATO EMBALAGENS;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1808. REAL BOLOS;24/05/2022;24/05/2022;R$ 163,00;R$ 163,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1808. HEBERT 2;24/05/2022;24/05/2022;R$ 15,00;R$ 15,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1808. FREE;24/05/2022;24/05/2022;R$ 48,00;R$ 48,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.13-Embalagens;ponto certo;24/05/2022;26/05/2022;R$ 33,00;R$ 33,00;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.02-Energia Elétrica;energisa;23/06/2022;;R$ 1.462,81;;Em aberto;1/1;01.02.01-ENERGISA - SERVIÇOS PUBLICOS;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;23/05/2022;23/05/2022;R$ 82,90;R$ 82,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1807. ANTONIO;23/05/2022;23/05/2022;R$ 230,00;R$ 230,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1807. FREE;23/05/2022;23/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1807. V.T;23/05/2022;23/05/2022;R$ 70,00;R$ 70,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1807. MANOEL;23/05/2022;23/05/2022;R$ 21,00;R$ 21,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1807. LUCAS;23/05/2022;23/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.12-Papelaria;Saída do caixa 1807. PAPELARIA;23/05/2022;23/05/2022;R$ 22,00;R$ 22,00;Pago;1/1;01.12.01-Papelaria São Benedito;Inverno D´Italia Bragança Paulista
01.09-Serviço de Limpeza;Saída do caixa 1807. PANO;23/05/2022;23/05/2022;R$ 8,00;R$ 8,00;Pago;1/1;01.07-01-MATERIAIS EM GERAL;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;23/05/2022;23/05/2022;R$ 100,00;R$ 100,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1806. EDUARDO MOTOQUEIRO;22/05/2022;22/05/2022;R$ 329,00;R$ 329,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1806. EMILY- ADRIANE- JULIA;22/05/2022;22/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1806. JULIA- EMILY- LETICIA;22/05/2022;22/05/2022;R$ 56,00;R$ 56,00;Pago;1/1;02.05.01 - Hora Extra colaboradores;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1806. JULIA- ADRIANE- LETICIA- EMILY;22/05/2022;22/05/2022;R$ 40,00;R$ 40,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;22/05/2022;23/05/2022;R$ 224,64;R$ 224,64;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1805. EMILY, JULIA, FEH, LE E DRII;21/05/2022;21/05/2022;R$ 50,00;R$ 50,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.06-Freelance-Temporario;Saída do caixa 1805. ADRIANE, JULIA E EMILY;21/05/2022;21/05/2022;R$ 144,00;R$ 144,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1805. ANTONIO 20;21/05/2022;21/05/2022;R$ 136,00;R$ 136,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1805. CONE;21/05/2022;21/05/2022;R$ 36,00;R$ 36,00;Pago;1/1;01.16.01-Palha italiana;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1805. 2R;21/05/2022;21/05/2022;R$ 8,00;R$ 8,00;Pago;1/1;01.11.03-2R;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1805. MOLINARI;21/05/2022;21/05/2022;R$ 7,00;R$ 7,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1805. LUCAS;21/05/2022;21/05/2022;R$ 24,00;R$ 24,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1805. PÃO;21/05/2022;21/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.07-Manutenção Geral;Saída do caixa 1805. ZONA AZUL;21/05/2022;21/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.07-01-MATERIAIS EM GERAL;Inverno D´Italia Bragança Paulista
01.06-Freelance-Temporario;Saída do caixa 1805. DRI, EMILY E JULIA;21/05/2022;21/05/2022;R$ 180,00;R$ 180,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;21/05/2022;21/05/2022;R$ 29,70;R$ 29,70;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;21/05/2022;21/05/2022;R$ 306,00;R$ 306,00;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;21/05/2022;21/05/2022;R$ 154,90;R$ 154,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;21/05/2022;21/05/2022;R$ 84,46;R$ 84,46;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;21/05/2022;21/05/2022;R$ 41,00;R$ 41,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1804. FREE;20/05/2022;20/05/2022;R$ 144,00;R$ 144,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1804. V.T;20/05/2022;20/05/2022;R$ 80,00;R$ 80,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1804. LUCAS;20/05/2022;20/05/2022;R$ 83,00;R$ 83,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
