Contas a Pagar;;;;;;;;;
01.15-Mercado;Saída do caixa 1804. AGUA;20/05/2022;20/05/2022;R$ 35,00;R$ 35,00;Pago;1/1;01.15.15-SETE AGUAS;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1804. EDUARDO;20/05/2022;20/05/2022;R$ 11,00;R$ 11,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1804. LU PRODUTOS NATURAIS;20/05/2022;20/05/2022;R$ 55,50;R$ 55,50;Pago;1/1;01.15.20 - Lu produtos naturais;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1804. CONES;20/05/2022;20/05/2022;R$ 72,00;R$ 72,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
03.04-Outros Equipamentos;Saída do caixa 1804. FARMACIA;20/05/2022;20/05/2022;R$ 59,50;R$ 59,50;Pago;1/1;;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1804. HORAS EXTRAS FERNANDA;20/05/2022;20/05/2022;R$ 21,00;R$ 21,00;Pago;1/1;02.05.01 - Hora Extra colaboradores;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;20/05/2022;21/05/2022;R$ 312,00;R$ 312,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.12-Papelaria;PAPELANDIA;20/05/2022;21/05/2022;R$ 123,50;R$ 123,50;Pago;1/1;01.12.02-Papelaria Papelândia;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;VAREJAO;20/05/2022;21/05/2022;R$ 45,00;R$ 45,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;20/05/2022;21/05/2022;R$ 150,00;R$ 150,00;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;20/05/2022;21/05/2022;R$ 119,90;R$ 119,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;20/05/2022;23/05/2022;R$ 308,94;R$ 308,94;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANCA;20/05/2022;23/05/2022;R$ 584,71;R$ 584,71;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1803. antonio;19/05/2022;19/05/2022;R$ 290,00;R$ 290,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1803. hebert 3;19/05/2022;19/05/2022;R$ 22,00;R$ 22,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.07-Manutenção Geral;Saída do caixa 1803. chave;19/05/2022;19/05/2022;R$ 30,00;R$ 30,00;Pago;1/1;01.07-01-MATERIAIS EM GERAL;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1803. horas extras letica 3;19/05/2022;19/05/2022;R$ 21,00;R$ 21,00;Pago;1/1;02.05.01 - Hora Extra colaboradores;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1803. lucas 7;19/05/2022;19/05/2022;R$ 55,00;R$ 55,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.12-Papelaria;Saída do caixa 1803. papelaria;19/05/2022;19/05/2022;R$ 5,00;R$ 5,00;Pago;1/1;01.12.01-Papelaria São Benedito;Inverno D´Italia Bragança Paulista
01.12-Papelaria;Saída do caixa 1803. papelandia;19/05/2022;19/05/2022;R$ 28,00;R$ 28,00;Pago;1/1;01.12.02-Papelaria Papelândia;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1803. free;19/05/2022;19/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1803. free;19/05/2022;19/05/2022;R$ 4,00;R$ 4,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1803. V.T;19/05/2022;19/05/2022;R$ 40,00;R$ 40,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.07-Manutenção Geral;Saída do caixa 1803. ESTRELA DO LAR;19/05/2022;19/05/2022;R$ 14,50;R$ 14,50;Pago;1/1;01.07-01-MATERIAIS EM GERAL;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;19/05/2022;21/05/2022;R$ 119,90;R$ 119,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;19/05/2022;21/05/2022;R$ 149,94;R$ 149,94;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;19/05/2022;23/05/2022;R$ 531,52;R$ 531,52;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
01.15-Mercado;CLUB DO CHOCOLATE;19/05/2022;23/05/2022;R$ 343,99;R$ 343,99;Pago;1/1;01.15.01-Clube do chocolate;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1802. LUCAS 29;18/05/2022;18/05/2022;R$ 242,00;R$ 242,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1802. HORAS EXTRAS;18/05/2022;18/05/2022;R$ 15,00;R$ 15,00;Pago;1/1;02.05.01 - Hora Extra colaboradores;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1802. V.T;18/05/2022;18/05/2022;R$ 80,00;R$ 80,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1802. FREE;18/05/2022;18/05/2022;R$ 144,00;R$ 144,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;Saída do caixa 1802. VAREJAO;18/05/2022;18/05/2022;R$ 88,00;R$ 88,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1802. GALAO DE AGUA;18/05/2022;18/05/2022;R$ 12,00;R$ 12,00;Pago;1/1;01.15.15-SETE AGUAS;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1802. RESTANTE JULIA DOMINGO;18/05/2022;18/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1802. LEITE;18/05/2022;18/05/2022;R$ 78,00;R$ 78,00;Pago;1/1;01.15.10-Express;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1802. ANTONIO;18/05/2022;18/05/2022;R$ 250,00;R$ 250,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1802. ANTONIO;18/05/2022;18/05/2022;R$ 1,00;R$ 1,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.15-Mercado;PMG;18/05/2022;21/05/2022;R$ 1.743,05;R$ 1.743,05;Pago;1/1;01.15.19 - PMG- Pama comercio de alimentos;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;18/05/2022;21/05/2022;R$ 156,00;R$ 156,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;18/05/2022;21/05/2022;R$ 88,30;R$ 88,30;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;18/05/2022;21/05/2022;R$ 42,20;R$ 42,20;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;18/05/2022;21/05/2022;R$ 91,90;R$ 91,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;18/05/2022;23/05/2022;R$ 544,41;R$ 544,41;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
01.13-Embalagens;MULTICAIXAS;18/05/2022;23/05/2022;R$ 443,00;R$ 443,00;Pago;1/1;01.13.05-MULTICAIXAS ATBAIA EMBALAGENS;Inverno D´Italia Bragança Paulista
01.00-Aluguel;MAQUINA DE CAFE;18/05/2022;23/05/2022;R$ 495,30;R$ 495,30;Pago;1/1;01.00.02-ALUGUEL - CANECAO MAQUINAS DE CAFE - Nilton;Inverno D´Italia Bragança Paulista
01.16-Doces;real bolos;17/05/2022;17/05/2022;R$ 123,00;R$ 123,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1801. antonio37;17/05/2022;17/05/2022;R$ 218,00;R$ 218,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1801. edu empadas;17/05/2022;17/05/2022;R$ 72,00;R$ 72,00;Pago;1/1;01.20.02-Edu empada;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1801. v.t;17/05/2022;17/05/2022;R$ 40,00;R$ 40,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1801. free;17/05/2022;17/05/2022;R$ 144,00;R$ 144,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
06.06-Estorno Cliente;Saída do caixa 1801. estorno;17/05/2022;17/05/2022;R$ 8,50;R$ 8,50;Pago;1/1;06.06.01 - Estorno Cliente;Inverno D´Italia Bragança Paulista
03.03-Instalações Gerais;Saída do caixa 1801. zona azul;17/05/2022;17/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.07-Manutenção Geral;Saída do caixa 1801. pano de prato;17/05/2022;17/05/2022;R$ 8,00;R$ 8,00;Pago;1/1;01.07-01-MATERIAIS EM GERAL;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1801. rodrigo;17/05/2022;17/05/2022;R$ 14,00;R$ 14,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.13-Embalagens;Saída do caixa 1801. ponto certo;17/05/2022;17/05/2022;R$ 144,00;R$ 144,00;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1801. lucas;17/05/2022;17/05/2022;R$ 40,00;R$ 40,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;17/05/2022;21/05/2022;R$ 91,90;R$ 91,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.15-Mercado;VENCEDOR;17/05/2022;23/05/2022;R$ 387,40;R$ 387,40;Pago;1/1;01.15.07-SUPERMERCADO VENCEDOR;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;17/05/2022;23/05/2022;R$ 139,35;R$ 139,35;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
01.15-Mercado;CLUB DO CHOCOLATE;17/05/2022;23/05/2022;R$ 150,20;R$ 150,20;Pago;1/1;01.15.01-Clube do chocolate;Inverno D´Italia Bragança Paulista
02.10-Vale Refeição;RESTAURANTE CASARAO;17/05/2022;23/05/2022;R$ 957,81;R$ 957,81;Pago;1/1;02.10.01 - Restaurante Casarão;Inverno D´Italia Bragança Paulista
01.21-FRANQUIA-Pedido semanal;FRANQUIA;17/05/2022;23/05/2022;R$ 8.196,16;R$ 8.196,16;Pago;1/1;01.21.01 -Franquia Inverno Ditalia;Inverno D´Italia Bragança Paulista
01.01-SABESP;SABESP;16/06/2022;;R$ 214,30;;Atrasada;1/1;01.01.01-SABESP - SERVIÇOS PUBLICOS;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;16/06/2022;16/06/2022;R$ 31,00;R$ 31,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1831. antonio;16/06/2022;16/06/2022;R$ 215,00;R$ 215,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1831. FREE;16/06/2022;16/06/2022;R$ 100,00;R$ 100,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
06.06-Estorno Cliente;Saída do caixa 1831. ESTORNO;16/06/2022;16/06/2022;R$ 3,00;R$ 3,00;Pago;1/1;06.06.01 - Estorno Cliente;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1831. V.T;16/06/2022;16/06/2022;R$ 20,00;R$ 20,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1831. HORAS EXTRAS 6;16/06/2022;16/06/2022;R$ 42,00;R$ 42,00;Pago;1/1;02.11.02-Colaborador Freelance;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1800. V.T;16/05/2022;16/05/2022;R$ 70,00;R$ 70,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1800. FREE;16/05/2022;16/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1800. ANTONIO 26;16/05/2022;16/05/2022;R$ 167,00;R$ 167,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.13-Embalagens;Saída do caixa 1800. PONTO CERTO;16/05/2022;16/05/2022;R$ 53,50;R$ 53,50;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1800. AGUA JOEL;16/05/2022;16/05/2022;R$ 45,00;R$ 45,00;Pago;1/1;01.15.15-SETE AGUAS;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1800. LUCAS 2;16/05/2022;16/05/2022;R$ 22,00;R$ 22,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
02.11-Adiantamento;Saída do caixa 1800. GLEICA;16/05/2022;16/05/2022;R$ 40,00;R$ 40,00;Pago;1/1;02.11.01-Colaborador Funcionario;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;varejao;16/05/2022;21/05/2022;R$ 45,00;R$ 45,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;16/05/2022;21/05/2022;R$ 82,90;R$ 82,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANÇA;16/05/2022;23/05/2022;R$ 81,06;R$ 81,06;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANCA;16/05/2022;23/05/2022;R$ 351,36;R$ 351,36;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1830. free;15/06/2022;15/06/2022;R$ 150,00;R$ 150,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1830. v.t;15/06/2022;15/06/2022;R$ 80,00;R$ 80,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1830. antonio;15/06/2022;15/06/2022;R$ 267,00;R$ 267,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.16-Doces;real bolos;15/06/2022;16/06/2022;R$ 77,00;R$ 77,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;varejao;15/06/2022;16/06/2022;R$ 65,00;R$ 65,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;15/06/2022;16/06/2022;R$ 44,00;R$ 44,00;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;15/06/2022;16/06/2022;R$ 100,40;R$ 100,40;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.15-Mercado;VENCEDOR;15/06/2022;16/06/2022;R$ 798,55;R$ 798,55;Pago;1/1;01.15.07-SUPERMERCADO VENCEDOR;Inverno D´Italia Bragança Paulista
01.00-Aluguel;ALUGUEL MAQUINA DE CAFE ASTORIA;15/06/2022;;R$ 450,00;;Atrasada;1/1;01.00.02-ALUGUEL - CANECAO MAQUINAS DE CAFE - Nilton;Inverno D´Italia Bragança Paulista
01.21-FRANQUIA-Pedido semanal;FRANQUIA;15/06/2022;16/06/2022;R$ 4.958,10;R$ 4.958,10;Pago;1/1;01.21.01 -Franquia Inverno Ditalia;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1799. EDUARDO;15/05/2022;15/05/2022;R$ 75,00;R$ 75,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1799. FEH - JUH - DRII;15/05/2022;15/05/2022;R$ 30,00;R$ 30,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.06-Freelance-Temporario;Saída do caixa 1799. JUH - DRII;15/05/2022;15/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1799. JUH - DRII;15/05/2022;15/05/2022;R$ 42,00;R$ 42,00;Pago;1/1;02.05.01 - Hora Extra colaboradores;Inverno D´Italia Bragança Paulista
06.06-Estorno Cliente;Saída do caixa 1799. ESTORNO;15/05/2022;15/05/2022;R$ 19,00;R$ 19,00;Pago;1/1;06.06.01 - Estorno Cliente;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1829. V.T;14/06/2022;14/06/2022;R$ 40,00;R$ 40,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1829. ANTONIO;14/06/2022;14/06/2022;R$ 280,00;R$ 280,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1829. FREE;14/06/2022;14/06/2022;R$ 100,00;R$ 100,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1829. COXINHA DE MORANGO;14/06/2022;14/06/2022;R$ 60,00;R$ 60,00;Pago;1/1;01.16.01-Palha italiana;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1829. LUCAS 1;14/06/2022;14/06/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1829. RAFINEE;14/06/2022;14/06/2022;R$ 100,00;R$ 100,00;Pago;1/1;01.16.04-Rafineé;Inverno D´Italia Bragança Paulista
01.16-Doces;real bolos;14/06/2022;16/06/2022;R$ 66,00;R$ 66,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.13-Embalagens;ponto certo;14/06/2022;16/06/2022;R$ 239,80;R$ 239,80;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;14/06/2022;16/06/2022;R$ 82,90;R$ 82,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANÇA;14/06/2022;16/06/2022;R$ 160,93;R$ 160,93;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;14/06/2022;16/06/2022;R$ 100,75;R$ 100,75;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
01.13-Embalagens;MULTICAIXAS;14/06/2022;16/06/2022;R$ 248,40;R$ 248,40;Pago;1/1;01.13.05-MULTICAIXAS ATBAIA EMBALAGENS;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;14/06/2022;16/06/2022;R$ 48,14;R$ 48,14;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
01.13-Embalagens;EMBALAGENS BRAGANÇA;14/06/2022;16/06/2022;R$ 64,52;R$ 64,52;Pago;1/1;01.13.02-Bragança Embalagens;Inverno D´Italia Bragança Paulista
06.06-Estorno Cliente;Saída do caixa 1798. estorno;14/05/2022;14/05/2022;R$ 12,00;R$ 12,00;Pago;1/1;06.06.01 - Estorno Cliente;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1798. presunto;14/05/2022;14/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1798. alterosa;14/05/2022;14/05/2022;R$ 30,00;R$ 30,00;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.12-Papelaria;Saída do caixa 1798. papelaria;14/05/2022;14/05/2022;R$ 6,00;R$ 6,00;Pago;1/1;01.12.01-Papelaria São Benedito;Inverno D´Italia Bragança Paulista
06.06-Estorno Cliente;Saída do caixa 1798. estorno;14/05/2022;14/05/2022;R$ 4,00;R$ 4,00;Pago;1/1;06.06.01 - Estorno Cliente;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1798. lucas;14/05/2022;14/05/2022;R$ 104,00;R$ 104,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1798. v.t;14/05/2022;14/05/2022;R$ 80,00;R$ 80,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1798. free;14/05/2022;14/05/2022;R$ 144,00;R$ 144,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1798. LUCAS;14/05/2022;14/05/2022;R$ 107,00;R$ 107,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1798. ANTONIO 13/05;14/05/2022;14/05/2022;R$ 160,00;R$ 160,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;varejao;14/05/2022;21/05/2022;R$ 95,00;R$ 95,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;14/05/2022;21/05/2022;R$ 91,00;R$ 91,00;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.13-Embalagens;ponto certo;14/05/2022;21/05/2022;R$ 211,82;R$ 211,82;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.16-Doces;real bolos;14/05/2022;21/05/2022;R$ 101,00;R$ 101,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANCA;14/05/2022;23/05/2022;R$ 347,72;R$ 347,72;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1828. antonio;13/06/2022;13/06/2022;R$ 199,00;R$ 199,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1828. v.t;13/06/2022;13/06/2022;R$ 60,00;R$ 60,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1828. free;13/06/2022;13/06/2022;R$ 100,00;R$ 100,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.07-Manutenção Geral;Saída do caixa 1828. jesse;13/06/2022;13/06/2022;R$ 130,00;R$ 130,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.13-Embalagens;Saída do caixa 1828. renato embalagens;13/06/2022;13/06/2022;R$ 125,00;R$ 125,00;Pago;1/1;01.13.03-RENATO EMBALAGENS;Inverno D´Italia Bragança Paulista
03.03-Instalações Gerais;Saída do caixa 1828. adesivos;13/06/2022;13/06/2022;R$ 32,00;R$ 32,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.16-Doces;real bolos;13/06/2022;16/06/2022;R$ 100,00;R$ 100,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.15-Mercado;joel agua;13/06/2022;16/06/2022;R$ 85,00;R$ 85,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.15-Mercado;lu produtos naturais;13/06/2022;16/06/2022;R$ 95,02;R$ 95,02;Pago;1/1;01.15.20 - Lu produtos naturais;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;varejao;13/06/2022;16/06/2022;R$ 85,00;R$ 85,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.20-Salgados;alterosa;13/06/2022;16/06/2022;R$ 82,90;R$ 82,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANÇA;13/06/2022;16/06/2022;R$ 668,95;R$ 668,95;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
